pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP2,380712;50005460;MolPort-035-673-217;SCHEMBL2761855;ZINC000006576436,MolPort;SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc3ccccc3c2o1,-6.86,-7.606,-0.7459999999999996,BP2_380712,work/docking/BP2/BP2_380712_vina_out.pdbqt,work/docking/BP2/BP2_380712_vina.log,0
BP2,32838,numeric library ID,O=C1NC(=O)C2(CCc3ccccc32)N1,-6.786,-6.905,-0.11900000000000066,BP2_32838,work/docking/BP2/BP2_32838_vina_out.pdbqt,work/docking/BP2/BP2_32838_vina.log,0
BP2,XZZ,PDB ligand,Cc1cc(=O)oc2cc(O)c(Cl)cc12,-6.748,-7.188,-0.4399999999999995,BP2_XZZ,work/docking/BP2/BP2_XZZ_vina_out.pdbqt,work/docking/BP2/BP2_XZZ_vina.log,0
BP2,CHEMBL227815,ChEMBL23,O=C1C(O)=Cc2cccc3cccc1c23,-6.711,-7.398,-0.6869999999999994,BP2_CHEMBL227815,work/docking/BP2/BP2_CHEMBL227815_vina_out.pdbqt,work/docking/BP2/BP2_CHEMBL227815_vina.log,0
BP2,SCHEMBL8945680,SureChEMBL,O=c1cc(O)c2cc(-c3ccccc3)ccc2o1,-6.711,-8.145,-1.4339999999999993,BP2_SCHEMBL8945680,work/docking/BP2/BP2_SCHEMBL8945680_vina_out.pdbqt,work/docking/BP2/BP2_SCHEMBL8945680_vina.log,0
BP2,764465,numeric library ID,Cc1cc(=O)oc2cc(O)c(N)cc12,-6.684,-7.015,-0.3309999999999995,BP2_764465,work/docking/BP2/BP2_764465_vina_out.pdbqt,work/docking/BP2/BP2_764465_vina.log,0
BP2,DB09096,DrugBank,O=C(OOC(=O)c1ccccc1)c1ccccc1,-6.587,-6.708,-0.12100000000000044,BP2_DB09096,work/docking/BP2/BP2_DB09096_vina_out.pdbqt,work/docking/BP2/BP2_DB09096_vina.log,0
BP2,DB00794,DrugBank,CCC1(c2ccccc2)C(=O)NCNC1=O,-6.541,-6.735,-0.19399999999999995,BP2_DB00794,work/docking/BP2/BP2_DB00794_vina_out.pdbqt,work/docking/BP2/BP2_DB00794_vina.log,0
BP2,3WL,PDB ligand,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,-6.505,-8.189,-1.6840000000000002,BP2_3WL,work/docking/BP2/BP2_3WL_vina_out.pdbqt,work/docking/BP2/BP2_3WL_vina.log,0
BP2,529222;CHEMBL12208;MolPort-000-467-367;ZINC000000058121,ChEMBL23;MolPort;ZINC15;numeric library ID,Cc1cc(=O)oc2cc(O)ccc12,-6.453,-7.043,-0.5899999999999999,BP2_529222,work/docking/BP2/BP2_529222_vina_out.pdbqt,work/docking/BP2/BP2_529222_vina.log,0
BP2,SCHEMBL11848480,SureChEMBL,O=c1cc(O)c2ccc(O)cc2o1,-6.134,-6.519,-0.3849999999999998,BP2_SCHEMBL11848480,work/docking/BP2/BP2_SCHEMBL11848480_vina_out.pdbqt,work/docking/BP2/BP2_SCHEMBL11848480_vina.log,0
BP2,SCHEMBL1366927,SureChEMBL,O=c1ccc2cccc(O)c2o1,-5.969,-6.63,-0.6609999999999996,BP2_SCHEMBL1366927,work/docking/BP2/BP2_SCHEMBL1366927_vina_out.pdbqt,work/docking/BP2/BP2_SCHEMBL1366927_vina.log,0
